sku,handle,name,category,category_slug,vendor,unit,price,currency,price_type,in_stock,stock_qty,description,image_count,primary_image,source_url
HP-PWR-BASE,power-pods,Power Pods,Power Pods,power-pods,Hydropod,1 unit,200.0,INR,quote,True,25,"The Innovative Dual-Vessel System is designed for customized filtration and softening combinations , ensuring optimal purification for complex water conditions.",2,hp-pwr-base-1.webp,https://hydropod.in/products/power-pods
HP-SFT-OPTI,opti-pod,Opti Pod,HydroSoft,hydrosoft,Hydropod,1 unit,850.0,INR,listed,True,25,"This system is engineered to eliminate hardness and chlorine from water, thereby enhancing taste and eliminating odour . A reliable solution for safe, clean, and better-tasting water.",12,hp-sft-opti-1.webp,https://hydropod.in/products/opti-pod
HP-SFT-HEXA,hexa-pod,Hexa Pod,HydroSoft,hydrosoft,Hydropod,1 unit,530.0,INR,listed,True,25,"This advanced water treatment system is designed to remove six major contaminants , ensuring safe and reliable water quality for residential, commercial, and industrial applications.",12,hp-sft-hexa-1.webp,https://hydropod.in/products/hexa-pod
HP-SFT-PURPLE,purple-pod,Purple Pod,HydroSoft,hydrosoft,Hydropod,1 unit,1200.0,INR,listed,True,25,"High Efficiency Softening Equipment suitable for applications that involve direct contact with Food Processing Equipment or Drinking Water , ensuring safe and reliable softening performance.",12,hp-sft-purple-1.webp,https://hydropod.in/products/purple-pod
HP-SFT-AMBER,amber-pod,Amber Pod,HydroSoft,hydrosoft,Hydropod,1 unit,999.0,INR,listed,True,25,"Specialized Softening Appliance designed to soften water for standard water applications , ensuring better water quality for daily household and commercial needs.",12,hp-sft-amber-1.webp,https://hydropod.in/products/amber-pod
HP-CAP-IRON,iron-buster,Iron Buster,Hydro Cap,hydro-cap,Hydropod,1 unit,1100.0,INR,listed,True,25,"Advanced Water Filtration System designed to effectively eliminate Iron from water , ensuring clean, safe, and healthy usage in daily applications.",3,hp-cap-iron-1.webp,https://hydropod.in/products/iron-buster
HP-CAP-HEXA,hexa-buster,Hexa Buster,Hydro Cap,hydro-cap,Hydropod,1 unit,3500.0,INR,listed,True,25,"Cutting Edge Filtration System designed to eliminate six major contaminants including Calcium, Magnesium, Iron, Manganese, Nitrates, and Arsenic . It ensures safe and clean water even in challenging conditions.",3,hp-cap-hexa-1.webp,https://hydropod.in/products/hexa-buster
HP-CAP-PURPLE,purple-cap,Purple Cap,Hydro Cap,hydro-cap,Hydropod,1 unit,2840.0,INR,listed,True,25,Advanced and Cutting Edge Water Treatment Solution that uses that media used conforming to NSF/ANSI 44 and NSF/ANSI/CAN 61 to eliminate hardness-causing minerals from water. Specially designed for applications requiring Higher Efficiency Softening and safe direct contact with Food Processing or Drinking Water applications.,3,hp-cap-purple-1.webp,https://hydropod.in/products/purple-cap
HP-CAP-AMBER,amber-cap,Amber Cap,Hydro Cap,hydro-cap,Hydropod,1 unit,240.0,INR,listed,True,25,"Advanced and Cutting Edge Water Treatment Solution designed to effectively eliminate the hardness-causing minerals from water, ensuring better water quality for daily use.",3,hp-cap-amber-1.webp,https://hydropod.in/products/amber-cap
HP-FLT-IRON,iron-pod-1,Iron Pod,Hydrofilt,hydrofilt,Hydropod,1 unit,3500.0,INR,listed,True,25,Fully Automatic and Advanced Water Purification Solution that is designed to effectively eliminate the Iron present in the water,4,hp-flt-iron-1.webp,https://hydropod.in/products/iron-pod-1
HP-FLT-CARBO,carbo-pod,Carbo Pod,Hydrofilt,hydrofilt,Hydropod,1 unit,1200.0,INR,listed,True,25,"Fully Automatic and Advanced Water Purification Solution that is designed to effectively eliminate the Chlorine, Organics and Impurities",4,hp-flt-carbo-1.webp,https://hydropod.in/products/carbo-pod
HP-FLT-FILT,filt-pod-1,Filt Pod,Hydrofilt,hydrofilt,Hydropod,1 unit,980.0,INR,listed,True,25,"Filt Pod is a fully automatic and advanced water purification system designed to effectively eliminate TSS (Total Suspended Solids) and ensure cleaner, safer, and more efficient water purification.",3,hp-flt-filt-1.webp,https://hydropod.in/products/filt-pod-1
